RadlexID	Common ID	Name
RID1985	4014510	medial epicondyle of humerus
RID1987	4013584	capitellum of humerus
RID199	4013630	common bile duct
RID1990	4015473	trochlea of humerus
RID1996	4013542	biceps brachii muscle
RID1999	4015469	triceps brachii muscle
RID200	4013635	common hepatic duct
RID2004	4013646	coracobrachialis muscle
RID2005	4013560	brachialis muscle
RID201	4013675	cystic duct
RID2010	4013763	elbow
RID2011	4013764	elbow joint
RID2035	4015485	ulnar collateral ligament of elbow
RID204	4015511	urinary tract
RID2044	4014826	radial collateral ligament of elbow
RID2048	4013456	annular ligament of radius
RID205	4014027	kidney
RID20560	4015039	right medial geniculate body
RID20561	4014268	left medial geniculate body
RID20562	4015000	right lateral geniculate body
RID20563	4014229	left lateral geniculate body
RID2068	4013632	common extensor tendon
RID2086	4013545	bicipitoradial bursa
RID20917	4015007	right lentiform nucleus
RID20918	4014236	left lentiform nucleus
RID21014	4015109	right putamen
RID21015	4014338	left putamen
RID21016	4013899	globus pallidus
RID21017	4014963	right globus pallidus
RID21018	4014192	left globus pallidus
RID21019	4014891	right caudate nucleus
RID21020	4014121	left caudate nucleus
RID2107	4013858	forearm
RID2109	4014830	radius
RID211	4013660	cortex of kidney
RID2113	4015290	styloid process of radius
RID2119	4015483	ulna
RID2125	4013656	coronoid process of ulna
RID2132	4015294	styloid process of ulna
RID2135	4013751	dorsal compartment of forearm
RID2137	4015533	volar compartment of forearm
RID2142	4013563	brachioradialis muscle
RID2144	4013780	extensor carpi radialis brevis muscle
RID2145	4013782	extensor carpi radialis longus muscle
RID2146	4013784	extensor carpi ulnaris muscle
RID2148	4013786	extensor digiti minimi muscle
RID2149	4013453	anconeus muscle
RID2151	4015350	supinator muscle
RID2154	4013430	abductor pollicis longus muscle
RID2155	4013796	extensor pollicis brevis muscle
RID2156	4013798	extensor pollicis longus muscle
RID2157	4013794	extensor indicis muscle
RID2160	4014785	pronator teres muscle
RID2161	4013836	flexor carpi radialis muscle
RID2162	4014675	palmaris longus muscle
RID2163	4013838	flexor carpi ulnaris muscle
RID2164	4013846	flexor digitorum superficialis muscle
RID2168	4013845	flexor digitorum profundus muscle
RID2169	4013851	flexor pollicis longus muscle
RID2171	4014784	pronator quadratus muscle
RID2177	4015536	wrist
RID2181	4015209	scaphoid
RID2187	4014471	lunate
RID2189	4015472	triquetrum
RID2191	4014728	pisiform
RID2193	4015466	trapezium
RID21931	4013457	ansa cervicalis
RID21932	4014865	right ansa cervicalis
RID21933	4014094	left ansa cervicalis
RID2195	4015468	trapezoid
RID2197	4013583	capitate
RID2198	4013914	hamate
RID2200	4013938	hook of hamate
RID2202	4015537	wrist joint
RID2203	4013750	distal radioulnar joint
RID2229	4013757	dorsal radioulnar ligament
RID2230	4015534	volar radioulnar ligament
RID2235	4015488	ulnar collateral ligament of wrist
RID2247	4013586	capitolunate joint
RID2249	4013585	capitohamate joint
RID225	4013581	calyx of renal collecting system
RID2257	4014827	radial collateral ligament of wrist
RID2259	4015210	scapholunate ligament
RID2267	4014729	pisohamate ligament
RID22694	4015063	right optic nerve
RID22695	4014292	left optic nerve
RID22696	4014651	optic tract
RID22697	4015064	right optic tract
RID22698	4014293	left optic tract
RID228	4014840	renal pelvis
RID2281	4013756	dorsal radiocarpal ligament
RID2287	4014672	palmar ligament
RID229	4015509	ureter
RID23087	4015008	right lesser occipital nerve
RID23088	4014237	left lesser occipital nerve
RID2309	4013800	extensor retinaculum
RID2313	4013853	flexor retinaculum
RID2318	4013915	hand
RID2320	4014537	metacarpal bone
RID2332_RID2392	4014539	metacarpophalangeal joint of first finger
RID2332_RID2394	4014541	metacarpophalangeal joint of second finger
RID2332_RID2396	4014542	metacarpophalangeal joint of third finger
RID2332_RID2398	4014540	metacarpophalangeal joint of fourth finger
RID2332_RID2400	4014538	metacarpophalangeal joint of fifth finger
RID2346	4013429	abductor pollicis brevis muscle
RID2347	4014646	opponens pollicis muscle
RID2348	4013850	flexor pollicis brevis muscle
RID2351	4013446	adductor pollicis muscle
RID2356	4014674	palmaris brevis muscle
RID2358	4013425	abductor digiti minimi muscle of hand
RID2359	4013839	flexor digiti minimi brevis muscle of hand
RID2360	4014643	opponens digiti minimi muscle of hand
RID2362	4014671	palmar interosseous muscle of hand
RID2364	4014470	lumbrical muscle of hand
RID237	4013547	bladder
RID2374	4013431	abductor pollicis longus tendon
RID2375	4013797	extensor pollicis brevis tendon
RID2376	4013783	extensor carpi radialis longus tendon
RID2377	4013781	extensor carpi radialis brevis tendon
RID2378	4013799	extensor pollicis longus tendon
RID2381	4013787	extensor digiti minimi tendon
RID2382	4013785	extensor carpi ulnaris tendon
RID2383	4013852	flexor pollicis longus tendon
RID2390	4014676	palmaris longus tendon
RID2404_RID2392	4014798	proximal phalanx of first finger
RID2404_RID2394	4014802	proximal phalanx of second finger
RID2404_RID2396	4014804	proximal phalanx of third finger
RID2404_RID2398	4014799	proximal phalanx of fourth finger
RID2404_RID2400	4014796	proximal phalanx of fifth finger
RID2405_RID2394	4014572	middle phalanx of second finger
RID2405_RID2396	4014574	middle phalanx of third finger
RID2405_RID2398	4014570	middle phalanx of fourth finger
RID2405_RID2400	4014568	middle phalanx of fifth finger
RID2406_RID2392	4013742	distal phalanx of first finger
RID2406_RID2394	4013746	distal phalanx of second finger
