CommonID,PreferredTerm,RadlexID
   4013819,female breast,RID29895
   4013405,female genital system,RID270
   4013820,femoral neck,RID2668
   4013821,femoral vein,RID1199
   4013822,femur,RID2662
   4013823,fibula,RID2871
   4013824,fifth cervical vertebra,RID29224
   4013825,fifth lumbar vertebra,RID29197
   4013826,fifth metacarpal bone,RID34549
   4013827,fifth rib,RID28591_RID6155
   4013828,fifth sacral vertebra,RID29192
   4013829,fifth thoracic vertebra,RID29202
   4013830,first lumbar vertebra,RID29193
   4013831,first metacarpal bone,RID34545
   4013832,first part of duodenum,RID29245
   4013833,first rib,RID28591_RID6151
   4013834,first sacral vertebra,RID29188
   4013835,first thoracic vertebra,RID29198
   4013836,flexor carpi radialis muscle,RID2161
   4013837,flexor carpi radialis tendon,RID41494
   4013838,flexor carpi ulnaris muscle,RID2163
   4013839,flexor digiti minimi brevis muscle of hand,RID2359
   4013840,flexor digiti minimi brevis of left hand,RID43146
   4013841,flexor digiti minimi brevis of right hand,RID43145
   4013842,flexor digitorum brevis muscle,RID3166
   4013843,flexor digitorum longus muscle,RID2929
   4013844,flexor digitorum longus tendon,RID3192
   4013845,flexor digitorum profundus muscle,RID2168
   4013846,flexor digitorum superficialis muscle,RID2164
   4013847,flexor hallucis brevis muscle,RID3173
   4013848,flexor hallucis longus muscle,RID2928
   4013849,flexor hallucis longus tendon,RID3193
   4013850,flexor pollicis brevis muscle,RID2348
   4013851,flexor pollicis longus muscle,RID2169
   4013852,flexor pollicis longus tendon,RID2383
   4013853,flexor retinaculum,RID2313
   4013854,fold of incus,RID10197
   4013855,foot,RID28829
   4013856,footplate of stapes,RID10156
   4013857,foramen magnum,RID9335
   4013858,forearm,RID2107
   4013859,fornix of forebrain,RID6512
   4013860,fossa for gallbladder,RID31748
   4013861,fourth cervical vertebra,RID29161
   4013862,fourth lumbar vertebra,RID29196
   4013863,fourth metacarpal bone,RID34548
   4013864,fourth part of duodenum,RID146
   4013865,fourth rib,RID28591_RID6154
   4013866,fourth sacral vertebra,RID29191
   4013867,fourth thoracic vertebra,RID29201
   4013868,fourth ventricle,RID7147
   4013869,frontal bone,RID9207
   4013870,frontal brain region,RID6391
   4013871,frontal horn of lateral ventricle,RID7126
