CommonID,PreferredTerm,RadlexID
   4015453,tibialis posterior muscle,RID2927
   4015454,tibialis posterior tendon,RID3194
   4015455,tibiocalcaneal ligament,RID3018
   4015456,tibionavicular ligament,RID3020
   4015457,tongue,RID9970
   4015458,trachea,RID1247
   4015459,tracheobronchial tree,RID1246
   4015460,tract of spinal cord,RID17726
   4015461,transverse arytenoid muscle,RID7651
   4015462,transverse colon,RID159
   4015463,transverse muscle of tongue,RID9902
   4015464,transverse sinus,RID1122
   4015465,transversus abdominis,RID31602
   4015466,trapezium,RID2193
   4015467,trapezius muscle,RID1937
   4015468,trapezoid,RID2195
   4015469,triceps brachii muscle,RID1999
   4015470,tricuspid valve,RID1397
   4015471,trigeminal nerve,RID12024
   4015472,triquetrum,RID2189
   4015473,trochlea of humerus,RID1990
   4015474,trochlea of left humerus,RID39784
   4015475,trochlea of right humerus,RID39783
   4015476,trochlea of superior oblique muscle,RID9707
   4015477,trochlear nerve,RID12021
   4015478,tubal tonsil,RID9998
   4015479,tuber cinereum,RID6643
   4015480,twelfth rib,RID28591_RID6162
   4015481,twelfth thoracic vertebra,RID29209
   4015482,tympanic membrane,RID10100
   4015483,ulna,RID2119
   4015484,ulnar artery,RID870
   4015485,ulnar collateral ligament of elbow,RID2035
   4015486,ulnar collateral ligament of left elbow,RID40855
   4015487,ulnar collateral ligament of right elbow,RID40856
   4015488,ulnar collateral ligament of wrist,RID2235
   4015489,ulnar nerve,RID7273
   4015490,ulnar vein,RID43978
   4015491,umbilical artery,RID35962
   4015492,umbilical cord,RID34558
   4015493,umbilical vein,RID34884
   4015494,uncal artery,RID647
   4015495,uncinate process of ethmoid,RID9206
   4015495,uncinate process of ethmoid,RID9206
   4015497,uncinate process of pancreas,RID172
   4015498,uncus,RID6482
   4015499,upper extremity,RID1850
   4015500,upper inner quadrant of breast,RID29931
   4015501,upper inner quadrant of left female breast,RID29933
   4015502,upper inner quadrant of right female breast,RID29932
   4015503,upper lobe of left lung,RID1327
   4015504,upper lobe of right lung,RID1303
   4015505,upper outer quadrant of breast,RID29928
   4015506,upper outer quadrant of left female breast,RID29930
   4015507,upper outer quadrant of right female breast,RID29929
   4015508,upper paratracheal lymph node,RID1465
   4015509,ureter,RID229
   4015510,urethra,RID34890
   4015511,urinary tract,RID204
   4013404,uterine adnexa,RID294
   4015512,uterine tube,RID295
   4015513,uterus,RID302
   4015514,uvula,RID9943
   4015515,vagina,RID325
   4015516,vagus nerve,RID12187
   4015517,vas deferens,RID358
   4015518,vastus intermedius muscle,RID2702
   4015519,vastus lateralis muscle,RID2699
   4015520,vastus medialis muscle,RID2700
   4015521,vein of left uncus,RID36155
   4015522,vein of right uncus,RID36154
   4015523,vein of uncus,RID36153
   4015524,vertebra,RID29154
   4015525,vertebral artery,RID774
   4015526,vertebral vein,RID1079
   4015527,vertical muscle of tongue,RID9903
   4015528,vesicouterine pouch,RID406
   4015529,vestibular nerve,RID12154
   4015530,vestibule of bony labyrinth,RID10202
   4015531,vestibulocochlear nerve,RID12151
   4015532,vitreous body,RID9682
   4015533,volar compartment of forearm,RID2137
   4015534,volar radioulnar ligament,RID2230
   4015535,wall of abdomen,RID30014
   4013399,whole body,RID39569
   4015536,wrist,RID2177
   4015537,wrist joint,RID2202
   4015538,zone of adenohypophysis,RID15522
   4015539,zone of neurohypophysis,RID15527
   4015540,zygomatic arch,RID28599
   4015541,zygomatic bone,RID9458
   4015542,zygomatic process of maxilla,RID9261
   4015543,zygomaticomaxillary suture of maxilla,RID9247
   4015544,zygomaticus major muscle,RID9863
   4015545,zygomaticus minor muscle,RID9864
